transaction_id,date_time,amount,merchant_name,category,type,payment_method,location,mood_at_time,context_tag,recurring,user_id,budget_category_limit,agent_action
T0021,2025-04-15 15:32:58,191.02,Spotify,Entertainment,debit,Cash,Marina,Neutral,Workday,False,user_001,500,
T0022,2025-04-14 13:47:58,81.61,Spotify,Entertainment,debit,Cash,Campus,Stressed,Weekend,True,user_001,500,
T0023,2025-03-28 16:33:58,272.95,Zara,Shopping,debit,Cash,Campus,Tired,Weekend,True,user_001,500,
T0024,2025-04-21 15:35:58,57.08,Amazon,Shopping,debit,Wallet,Marina,Happy,Shopping mall,False,user_001,500,
T0025,2025-04-05 16:24:58,179.84,Zara,Shopping,debit,Card,Business Bay,Stressed,Late night,True,user_001,100,
T0026,2025-04-19 02:19:58,280.05,Swiggy,Food,debit,UPI,Business Bay,Tired,Rainy day,True,user_001,100,
T0027,2025-03-26 19:01:58,168.26,Amazon,Shopping,debit,UPI,Home,Tired,Weekend,True,user_001,300,
T0028,2025-03-31 20:13:58,22.27,Spotify,Entertainment,debit,Cash,Dubai Mall,Stressed,Shopping mall,False,user_001,300,
T0029,2025-03-23 17:23:58,238.42,Swiggy,Food,debit,Cash,Marina,Tired,Rainy day,False,user_001,100,
T0030,2025-04-04 08:28:58,30.03,Uber,Travel,debit,Wallet,Marina,Neutral,Shopping mall,True,user_001,200,
T0031,2025-03-31 17:36:58,13.37,Whole Foods,Groceries,debit,UPI,Marina,Neutral,Workday,False,user_001,100,
T0032,2025-04-05 17:40:58,151.49,McDonald's,Food,debit,UPI,Home,Stressed,Late night,True,user_001,300,
T0033,2025-04-22 11:55:58,104.97,Flipkart,Shopping,debit,Card,Dubai Mall,Neutral,Late night,True,user_001,500,
T0034,2025-04-15 19:19:58,153.39,Netflix,Entertainment,debit,Cash,Marina,Neutral,After exam,False,user_001,300,
T0035,2025-04-17 11:07:58,73.01,Whole Foods,Groceries,debit,Cash,Campus,Excited,Workday,True,user_001,300,
T0036,2025-04-15 10:52:58,143.92,Netflix,Entertainment,debit,Wallet,Business Bay,Tired,Workday,True,user_001,200,
T0037,2025-04-10 21:15:58,180.7,Whole Foods,Groceries,debit,UPI,Campus,Tired,Workday,False,user_001,100,
T0038,2025-04-18 00:59:58,55.73,Whole Foods,Groceries,debit,UPI,Campus,Stressed,Shopping mall,False,user_001,500,
T0039,2025-03-31 20:49:58,210.68,Amazon,Shopping,debit,Cash,Marina,Tired,Rainy day,True,user_001,100,
T0040,2025-04-01 21:36:58,14.24,Airbnb,Travel,debit,Cash,Home,Happy,Workday,False,user_001,500,
T0041,2025-04-17 00:05:58,66.26,McDonald's,Food,debit,Wallet,Marina,Stressed,Shopping mall,True,user_001,500,
T0042,2025-03-25 02:09:58,21.7,Flipkart,Shopping,debit,Card,Home,Happy,Shopping mall,False,user_001,500,
T0043,2025-03-30 23:38:58,284.29,Amazon,Shopping,debit,Wallet,Dubai Mall,Stressed,Shopping mall,False,user_001,300,
T0044,2025-04-18 05:27:58,170.35,Swiggy,Food,debit,Cash,Marina,Tired,Weekend,True,user_001,100,
T0045,2025-04-12 14:27:58,71.25,Starbucks,Food,debit,Wallet,Marina,Neutral,Rainy day,True,user_001,300,
T0046,2025-04-15 03:34:58,121.05,Netflix,Entertainment,debit,UPI,Marina,Stressed,After exam,False,user_001,100,
T0047,2025-03-23 13:01:58,279.81,Flipkart,Shopping,debit,Card,Business Bay,Stressed,After exam,False,user_001,100,
T0048,2025-04-07 03:25:58,295.47,Flipkart,Shopping,debit,Wallet,Marina,Neutral,Late night,False,user_001,300,
T0049,2025-04-13 22:48:58,135.26,Starbucks,Food,debit,Cash,Business Bay,Excited,Late night,True,user_001,200,
T0050,2025-03-26 10:19:58,49.36,Amazon,Shopping,debit,UPI,Dubai Mall,Stressed,Workday,True,user_001,500,
T0051,2025-04-14 02:41:58,276.55,Spotify,Entertainment,debit,Cash,Business Bay,Happy,Weekend,False,user_001,100,
T0052,2025-03-24 14:48:58,102.47,Whole Foods,Groceries,debit,Wallet,Business Bay,Stressed,Late night,True,user_001,300,
T0053,2025-04-05 16:16:58,134.19,Uber,Travel,debit,Cash,Dubai Mall,Tired,Shopping mall,True,user_001,200,
T0054,2025-04-12 11:41:58,206.54,Uber,Travel,debit,Wallet,Home,Stressed,Rainy day,True,user_001,100,
T0055,2025-04-07 16:14:58,31.74,Starbucks,Food,debit,Card,Business Bay,Excited,Late night,False,user_001,500,
T0056,2025-04-12 08:31:58,96.5,Starbucks,Food,debit,Card,Campus,Tired,After exam,True,user_001,200,
T0057,2025-04-03 18:47:58,299.56,McDonald's,Food,debit,Card,Home,Happy,Shopping mall,True,user_001,200,
T0058,2025-04-14 02:02:58,127.6,McDonald's,Food,debit,Wallet,Marina,Stressed,Rainy day,False,user_001,500,
T0059,2025-04-13 22:00:58,286.91,Flipkart,Shopping,debit,UPI,Business Bay,Excited,Shopping mall,False,user_001,200,
T0060,2025-04-20 12:34:58,203.36,Starbucks,Food,debit,Wallet,Marina,Neutral,Workday,False,user_001,300,
T0061,2025-04-02 20:54:58,195.3,Whole Foods,Groceries,debit,UPI,Marina,Tired,Workday,False,user_001,200,
T0062,2025-03-24 22:27:58,23.13,Amazon,Shopping,debit,Cash,Home,Happy,Late night,False,user_001,100,
T0063,2025-04-02 21:18:58,229.07,McDonald's,Food,debit,Cash,Campus,Tired,Shopping mall,True,user_001,500,
T0064,2025-03-24 04:46:58,147.8,McDonald's,Food,debit,Card,Business Bay,Happy,After exam,True,user_001,200,
T0065,2025-04-06 09:28:58,25.1,Spotify,Entertainment,debit,Wallet,Campus,Tired,Late night,False,user_001,300,
T0066,2025-04-06 23:27:58,276.28,Airbnb,Travel,debit,Wallet,Marina,Tired,Rainy day,False,user_001,100,
T0067,2025-04-22 04:35:58,66.9,Airbnb,Travel,debit,Wallet,Dubai Mall,Stressed,Shopping mall,False,user_001,100,
T0068,2025-04-09 03:50:58,299.2,Spotify,Entertainment,debit,UPI,Marina,Neutral,After exam,False,user_001,100,
T0069,2025-04-17 10:00:58,167.96,Uber,Travel,debit,Card,Campus,Excited,Late night,False,user_001,300,
T0070,2025-03-27 15:28:58,144.08,Netflix,Entertainment,debit,Card,Campus,Stressed,Workday,False,user_001,100,
T0071,2025-04-10 02:16:58,199.42,Netflix,Entertainment,debit,Card,Home,Tired,Shopping mall,False,user_001,500,
T0072,2025-04-17 10:07:58,219.17,Starbucks,Food,debit,UPI,Business Bay,Excited,Workday,True,user_001,500,
T0073,2025-04-05 20:34:58,184.74,Netflix,Entertainment,debit,UPI,Campus,Tired,Workday,False,user_001,300,
T0074,2025-04-18 16:50:58,168.79,Uber,Travel,debit,Wallet,Business Bay,Happy,Late night,False,user_001,300,
T0075,2025-03-25 06:09:58,82.72,McDonald's,Food,debit,Cash,Business Bay,Neutral,Shopping mall,False,user_001,300,
T0076,2025-04-15 15:31:58,160.25,Flipkart,Shopping,debit,Cash,Home,Happy,Weekend,False,user_001,200,
T0077,2025-04-12 22:54:58,97.63,Uber,Travel,debit,Card,Campus,Happy,Shopping mall,True,user_001,200,
T0078,2025-03-24 19:26:58,75.82,Netflix,Entertainment,debit,Cash,Marina,Stressed,Rainy day,False,user_001,300,
T0079,2025-04-07 11:16:58,245.73,Zara,Shopping,debit,UPI,Business Bay,Happy,Weekend,True,user_001,500,
T0080,2025-04-09 15:16:58,223.2,Swiggy,Food,debit,Card,Marina,Happy,Shopping mall,False,user_001,500,
T0081,2025-04-22 06:33:58,77.73,Swiggy,Food,debit,Card,Home,Neutral,Rainy day,True,user_001,300,
T0082,2025-03-25 04:38:58,227.22,Starbucks,Food,debit,Cash,Campus,Tired,After exam,True,user_001,200,
T0083,2025-04-09 15:41:58,285.16,Spotify,Entertainment,debit,Card,Home,Neutral,Late night,False,user_001,200,
T0084,2025-03-30 19:18:58,93.44,Uber,Travel,debit,UPI,Marina,Excited,Weekend,False,user_001,300,
T0085,2025-04-03 17:12:58,80.48,Swiggy,Food,debit,UPI,Marina,Happy,Shopping mall,False,user_001,200,
T0086,2025-03-28 16:37:58,268.75,Swiggy,Food,debit,Wallet,Campus,Tired,After exam,True,user_001,500,
T0087,2025-03-28 00:35:58,293.64,Uber,Travel,debit,UPI,Dubai Mall,Happy,Weekend,False,user_001,100,
T0088,2025-03-27 05:05:58,28.35,Flipkart,Shopping,debit,Card,Home,Excited,Shopping mall,False,user_001,500,
T0089,2025-04-10 17:42:58,198.27,Starbucks,Food,debit,Wallet,Marina,Excited,After exam,False,user_001,300,
T0090,2025-04-02 12:13:58,224.22,Starbucks,Food,debit,Wallet,Home,Stressed,Weekend,False,user_001,200,
T0091,2025-04-13 16:48:58,269.05,Uber,Travel,debit,Wallet,Home,Tired,Rainy day,True,user_001,100,
T0092,2025-04-04 17:46:58,213.79,Uber,Travel,debit,Card,Home,Excited,Rainy day,False,user_001,500,
T0093,2025-04-03 06:53:58,100.52,Spotify,Entertainment,debit,Card,Business Bay,Excited,Late night,True,user_001,500,
T0094,2025-03-26 05:32:58,236.16,Zara,Shopping,debit,Wallet,Marina,Stressed,After exam,True,user_001,300,
T0095,2025-04-02 17:17:58,203.81,Amazon,Shopping,debit,Wallet,Dubai Mall,Happy,Shopping mall,False,user_001,500,
T0096,2025-04-18 11:48:58,17.76,Airbnb,Travel,debit,Card,Dubai Mall,Stressed,Weekend,False,user_001,100,
T0097,2025-04-08 10:09:58,40.66,Zara,Shopping,debit,Cash,Home,Neutral,After exam,False,user_001,100,
T0098,2025-04-11 17:11:58,203.43,Spotify,Entertainment,debit,UPI,Home,Tired,Workday,True,user_001,300,
T0099,2025-03-29 05:52:58,18.2,Spotify,Entertainment,debit,Card,Campus,Happy,Shopping mall,False,user_001,500,
T0100,2025-04-06 07:53:58,299.44,McDonald's,Food,debit,Cash,Business Bay,Stressed,Workday,True,user_001,300,
T0101,2025-04-16 01:32:58,255.44,Uber,Travel,debit,UPI,Home,Stressed,Rainy day,False,user_001,300,
T0102,2025-04-11 10:42:58,126.68,McDonald's,Food,debit,Cash,Campus,Neutral,Shopping mall,False,user_001,300,
T0103,2025-03-29 05:11:58,222.64,Starbucks,Food,debit,Wallet,Marina,Stressed,Late night,False,user_001,200,
T0104,2025-04-14 21:44:58,15.19,Gym Membership,Health,debit,Wallet,Marina,Stressed,Workday,False,user_001,100,
T0105,2025-04-09 12:21:58,141.98,Swiggy,Food,debit,UPI,Dubai Mall,Tired,Shopping mall,True,user_001,500,
T0106,2025-04-19 14:53:58,293.3,McDonald's,Food,debit,Card,Marina,Happy,Rainy day,True,user_001,100,
T0107,2025-03-29 03:28:58,276.01,Amazon,Shopping,debit,Card,Home,Excited,After exam,True,user_001,100,
T0108,2025-04-05 01:31:58,26.32,Amazon,Shopping,debit,UPI,Dubai Mall,Happy,Workday,True,user_001,300,
T0109,2025-03-30 01:34:58,229.43,Whole Foods,Groceries,debit,UPI,Dubai Mall,Neutral,Rainy day,False,user_001,100,
T0110,2025-04-05 17:47:58,202.09,Flipkart,Shopping,debit,Cash,Business Bay,Excited,Workday,False,user_001,200,
T0111,2025-04-10 09:01:58,291.26,Amazon,Shopping,debit,Card,Business Bay,Happy,Weekend,True,user_001,300,
T0112,2025-03-31 05:55:58,128.78,Starbucks,Food,debit,Cash,Campus,Stressed,Workday,False,user_001,300,
T0113,2025-04-14 23:41:58,46.33,Flipkart,Shopping,debit,Card,Dubai Mall,Excited,Rainy day,True,user_001,200,
T0114,2025-04-10 17:56:58,158.95,Gym Membership,Health,debit,Card,Home,Tired,Workday,False,user_001,100,
T0115,2025-04-20 09:29:58,173.5,Uber,Travel,debit,Cash,Home,Happy,Shopping mall,False,user_001,100,
T0116,2025-04-19 00:44:58,271.72,Starbucks,Food,debit,Wallet,Marina,Excited,Late night,True,user_001,500,
T0117,2025-04-18 14:16:58,102.45,Uber,Travel,debit,UPI,Home,Excited,Weekend,True,user_001,200,
T0118,2025-04-09 02:17:58,188.93,Amazon,Shopping,debit,Card,Business Bay,Excited,Weekend,False,user_001,500,
T0119,2025-04-06 20:45:58,71.5,Swiggy,Food,debit,Cash,Marina,Neutral,After exam,True,user_001,200,
T0120,2025-04-05 01:26:58,215.05,Uber,Travel,debit,Card,Marina,Tired,Late night,True,user_001,300,
T0121,2025-04-15 22:32:58,88.33,Starbucks,Food,debit,UPI,Marina,Excited,After exam,False,user_001,500,
T0122,2025-04-13 06:36:58,197.79,Zara,Shopping,debit,Wallet,Dubai Mall,Stressed,Weekend,True,user_001,200,
T0123,2025-03-28 09:11:58,125.66,Whole Foods,Groceries,debit,Cash,Home,Stressed,Weekend,True,user_001,500,
T0124,2025-04-15 03:12:58,131.71,Uber,Travel,debit,Card,Campus,Neutral,Workday,False,user_001,200,
T0125,2025-04-18 22:58:58,99.57,Uber,Travel,debit,Card,Business Bay,Tired,Workday,False,user_001,300,
T0126,2025-04-03 06:03:58,11.07,Flipkart,Shopping,debit,Cash,Business Bay,Happy,Workday,False,user_001,500,
T0127,2025-04-16 21:21:58,169.16,Spotify,Entertainment,debit,UPI,Campus,Excited,Late night,True,user_001,300,
T0128,2025-03-24 05:58:58,176.42,McDonald's,Food,debit,UPI,Home,Stressed,Late night,False,user_001,100,
T0129,2025-03-31 18:00:58,7.03,Swiggy,Food,debit,UPI,Home,Stressed,Workday,True,user_001,500,
T0130,2025-04-16 11:23:58,195.06,Gym Membership,Health,debit,UPI,Home,Stressed,Weekend,True,user_001,200,
T0131,2025-04-07 11:20:58,165.8,Gym Membership,Health,debit,Card,Marina,Tired,After exam,False,user_001,300,
T0132,2025-03-31 12:32:58,163.85,McDonald's,Food,debit,Cash,Marina,Stressed,Workday,True,user_001,300,
T0133,2025-04-05 21:22:58,192.38,Airbnb,Travel,debit,Card,Marina,Excited,After exam,True,user_001,100,
T0134,2025-04-17 10:04:58,289.41,Uber,Travel,debit,UPI,Marina,Stressed,Late night,True,user_001,100,
T0135,2025-04-15 13:36:58,265.8,Netflix,Entertainment,debit,Card,Marina,Tired,Workday,False,user_001,500,
T0136,2025-04-05 20:50:58,14.76,Zara,Shopping,debit,Card,Campus,Neutral,Workday,True,user_001,300,
T0137,2025-04-08 10:38:58,242.2,Starbucks,Food,debit,Cash,Marina,Neutral,After exam,True,user_001,100,
T0138,2025-04-11 21:15:58,95.56,Amazon,Shopping,debit,Cash,Dubai Mall,Tired,Rainy day,False,user_001,100,
T0139,2025-04-17 13:30:58,276.89,Starbucks,Food,debit,Wallet,Marina,Neutral,After exam,True,user_001,200,
T0140,2025-03-31 02:38:58,60.22,Flipkart,Shopping,debit,Cash,Dubai Mall,Neutral,After exam,False,user_001,100,
T0141,2025-04-05 04:34:58,63.73,Swiggy,Food,debit,Cash,Marina,Tired,Shopping mall,False,user_001,500,
T0142,2025-04-19 05:22:58,189.83,Starbucks,Food,debit,Card,Dubai Mall,Excited,Weekend,True,user_001,100,
T0143,2025-04-15 02:57:58,105.42,Netflix,Entertainment,debit,UPI,Marina,Tired,Workday,True,user_001,300,
T0144,2025-04-12 20:23:58,209.09,Gym Membership,Health,debit,Card,Marina,Happy,Weekend,True,user_001,100,
T0145,2025-04-09 02:23:58,167.62,Zara,Shopping,debit,Wallet,Dubai Mall,Tired,Shopping mall,False,user_001,200,
T0146,2025-03-27 14:02:58,294.71,Gym Membership,Health,debit,Card,Home,Happy,Rainy day,True,user_001,100,
T0147,2025-04-16 10:09:58,298.24,Uber,Travel,debit,Cash,Home,Stressed,Weekend,True,user_001,100,
T0148,2025-03-25 06:47:58,216.12,Airbnb,Travel,debit,Card,Business Bay,Neutral,After exam,False,user_001,200,
T0149,2025-04-20 21:41:58,255.03,Airbnb,Travel,debit,Cash,Dubai Mall,Happy,Late night,True,user_001,300,
T0150,2025-04-21 15:13:58,175.62,Whole Foods,Groceries,debit,Wallet,Business Bay,Neutral,After exam,False,user_001,200,
T0151,2025-04-13 01:14:58,263.06,Gym Membership,Health,debit,Cash,Campus,Happy,Workday,False,user_001,200,
T0152,2025-04-01 12:17:58,284.43,Netflix,Entertainment,debit,Cash,Home,Happy,Shopping mall,False,user_001,500,
T0153,2025-04-16 20:47:58,272.66,Spotify,Entertainment,debit,Wallet,Marina,Stressed,Weekend,False,user_001,100,
T0154,2025-04-01 12:25:58,143.78,Uber,Travel,debit,UPI,Dubai Mall,Excited,Shopping mall,True,user_001,300,
T0155,2025-04-16 19:31:58,208.71,Spotify,Entertainment,debit,Card,Campus,Happy,After exam,True,user_001,300,
T0156,2025-03-24 18:10:58,219.15,Zara,Shopping,debit,Cash,Campus,Tired,Workday,True,user_001,100,
T0157,2025-04-10 21:23:58,83.06,Spotify,Entertainment,debit,Card,Home,Happy,Late night,False,user_001,100,
T0158,2025-03-28 13:32:58,274.22,Starbucks,Food,debit,Wallet,Dubai Mall,Neutral,Late night,False,user_001,100,
T0159,2025-04-01 02:11:58,89.04,Uber,Travel,debit,UPI,Business Bay,Happy,Workday,True,user_001,200,
T0160,2025-04-07 04:03:58,25.53,Airbnb,Travel,debit,UPI,Home,Happy,Late night,False,user_001,300,
T0161,2025-04-11 07:12:58,57.4,Zara,Shopping,debit,UPI,Business Bay,Tired,Late night,False,user_001,300,
T0162,2025-04-02 11:55:58,230.31,Swiggy,Food,debit,Card,Home,Excited,Workday,True,user_001,200,
T0163,2025-03-24 04:59:58,5.64,Gym Membership,Health,debit,Wallet,Campus,Neutral,Workday,False,user_001,500,
T0164,2025-03-30 01:39:58,257.69,Netflix,Entertainment,debit,Cash,Business Bay,Happy,Late night,False,user_001,100,
T0165,2025-03-29 22:50:58,27.15,Netflix,Entertainment,debit,Cash,Dubai Mall,Stressed,After exam,False,user_001,300,
T0166,2025-03-24 15:36:58,36.87,Swiggy,Food,debit,Wallet,Marina,Excited,Workday,True,user_001,200,
T0167,2025-03-24 17:45:58,57.58,Amazon,Shopping,debit,Wallet,Campus,Excited,Shopping mall,False,user_001,100,
T0168,2025-03-30 18:37:58,131.98,Flipkart,Shopping,debit,Card,Campus,Neutral,Workday,False,user_001,200,
T0169,2025-03-26 16:09:58,95.27,Flipkart,Shopping,debit,Wallet,Home,Tired,Late night,True,user_001,200,
T0170,2025-04-11 20:13:58,191.88,Whole Foods,Groceries,debit,Wallet,Home,Happy,Late night,False,user_001,200,
T0171,2025-04-10 03:43:58,160.87,Swiggy,Food,debit,UPI,Dubai Mall,Neutral,After exam,False,user_001,100,
T0172,2025-04-01 15:09:58,243.8,Flipkart,Shopping,debit,Card,Business Bay,Neutral,Rainy day,True,user_001,200,
T0173,2025-03-24 13:12:58,246.67,Spotify,Entertainment,debit,UPI,Marina,Neutral,Shopping mall,True,user_001,300,
T0174,2025-03-30 11:17:58,125.25,Spotify,Entertainment,debit,Wallet,Campus,Neutral,Weekend,False,user_001,100,
T0175,2025-04-20 06:29:58,56.58,Starbucks,Food,debit,Wallet,Home,Excited,Rainy day,False,user_001,300,
T0176,2025-04-06 06:40:58,282.51,Gym Membership,Health,debit,Cash,Business Bay,Excited,Weekend,False,user_001,100,
T0177,2025-03-31 17:12:58,275.08,McDonald's,Food,debit,Card,Marina,Stressed,Late night,True,user_001,300,
T0178,2025-04-16 20:36:58,39.67,Starbucks,Food,debit,UPI,Business Bay,Happy,Rainy day,True,user_001,300,
T0179,2025-04-05 11:34:58,244.68,Whole Foods,Groceries,debit,UPI,Dubai Mall,Tired,Late night,False,user_001,500,
T0180,2025-03-30 01:35:58,90.81,Netflix,Entertainment,debit,Wallet,Dubai Mall,Tired,Workday,True,user_001,500,
T0181,2025-04-12 18:44:58,167.99,McDonald's,Food,debit,UPI,Dubai Mall,Excited,Weekend,False,user_001,200,
T0182,2025-04-16 18:14:58,11.67,Uber,Travel,debit,Wallet,Marina,Stressed,Weekend,False,user_001,200,
T0183,2025-04-08 13:15:58,28.45,Flipkart,Shopping,debit,Card,Campus,Tired,Late night,True,user_001,300,
T0184,2025-04-08 12:44:58,162.2,Flipkart,Shopping,debit,UPI,Campus,Stressed,After exam,False,user_001,200,
T0185,2025-04-10 12:29:58,268.57,Swiggy,Food,debit,Wallet,Business Bay,Tired,Weekend,False,user_001,100,
T0186,2025-04-19 17:28:58,248.58,Whole Foods,Groceries,debit,Wallet,Campus,Stressed,Late night,False,user_001,200,
T0187,2025-03-28 09:13:58,230.99,Netflix,Entertainment,debit,Cash,Dubai Mall,Happy,Workday,False,user_001,300,
T0188,2025-04-07 22:13:58,243.44,Airbnb,Travel,debit,Wallet,Home,Happy,Late night,False,user_001,300,
T0189,2025-03-28 03:43:58,176.51,Starbucks,Food,debit,Cash,Home,Happy,Rainy day,True,user_001,200,
T0190,2025-03-26 13:27:58,51.89,Spotify,Entertainment,debit,Wallet,Dubai Mall,Tired,Rainy day,False,user_001,200,
T0191,2025-04-01 02:42:58,139.88,McDonald's,Food,debit,Cash,Dubai Mall,Tired,Shopping mall,False,user_001,200,
T0192,2025-04-04 01:45:58,232.86,Netflix,Entertainment,debit,Wallet,Campus,Neutral,Workday,False,user_001,500,
T0193,2025-04-04 14:33:58,232.86,Flipkart,Shopping,debit,UPI,Business Bay,Stressed,Late night,False,user_001,500,
T0194,2025-04-13 07:22:58,214.26,Amazon,Shopping,debit,Wallet,Campus,Neutral,Rainy day,False,user_001,500,
T0195,2025-04-21 03:27:58,283.68,Airbnb,Travel,debit,Card,Dubai Mall,Stressed,Late night,False,user_001,300,
T0196,2025-04-06 02:16:58,68.13,Uber,Travel,debit,Card,Campus,Stressed,Workday,True,user_001,300,
T0197,2025-04-01 14:21:58,258.95,Gym Membership,Health,debit,Card,Home,Happy,Rainy day,False,user_001,300,
T0198,2025-04-15 18:06:58,203.63,Starbucks,Food,debit,Card,Business Bay,Happy,Workday,False,user_001,200,
T0199,2025-04-11 02:20:58,92.05,Zara,Shopping,debit,Wallet,Dubai Mall,Excited,Rainy day,False,user_001,300,
T0200,2025-03-27 06:30:58,262.85,Gym Membership,Health,debit,Wallet,Marina,Neutral,Rainy day,True,user_001,300,
T0201,2025-03-30 06:02:58,9.08,Uber,Travel,debit,UPI,Marina,Happy,Rainy day,True,user_001,500,
T0202,2025-04-16 18:01:58,278.19,Whole Foods,Groceries,debit,Wallet,Campus,Tired,Workday,True,user_001,100,
T0203,2025-04-16 20:06:58,63.41,McDonald's,Food,debit,Cash,Business Bay,Neutral,Late night,True,user_001,300,
T0204,2025-04-12 21:58:58,198.47,Swiggy,Food,debit,Card,Marina,Stressed,Shopping mall,False,user_001,300,
T0205,2025-04-13 01:57:58,279.03,Flipkart,Shopping,debit,Wallet,Campus,Excited,After exam,False,user_001,200,
T0206,2025-04-21 07:07:58,123.6,Uber,Travel,debit,Card,Dubai Mall,Stressed,Rainy day,False,user_001,300,
T0207,2025-03-28 17:22:58,285.09,Airbnb,Travel,debit,Wallet,Marina,Happy,Workday,False,user_001,500,
T0208,2025-04-03 18:27:58,233.4,Swiggy,Food,debit,UPI,Marina,Stressed,Workday,False,user_001,100,
T0209,2025-04-02 08:52:58,94.34,Amazon,Shopping,debit,Cash,Business Bay,Stressed,Late night,True,user_001,500,
T0210,2025-03-30 00:49:58,294.25,Flipkart,Shopping,debit,Wallet,Home,Stressed,Workday,True,user_001,100,
T0211,2025-04-21 06:01:58,41.03,Spotify,Entertainment,debit,UPI,Home,Happy,Rainy day,False,user_001,500,
T0212,2025-03-26 20:30:58,147.95,Airbnb,Travel,debit,UPI,Business Bay,Tired,Rainy day,True,user_001,500,
T0213,2025-03-31 23:37:58,98.67,Starbucks,Food,debit,Cash,Campus,Happy,Workday,False,user_001,300,
T0214,2025-03-28 04:58:58,194.34,Netflix,Entertainment,debit,Wallet,Marina,Stressed,After exam,False,user_001,300,
T0215,2025-04-17 09:27:58,228.55,Swiggy,Food,debit,Card,Home,Happy,Workday,True,user_001,300,
T0216,2025-04-13 01:02:58,122.97,Uber,Travel,debit,Cash,Campus,Stressed,Workday,False,user_001,300,
T0217,2025-03-24 06:50:58,93.97,Amazon,Shopping,debit,Wallet,Home,Excited,Shopping mall,False,user_001,100,
T0218,2025-04-18 09:12:58,228.74,Whole Foods,Groceries,debit,Card,Home,Tired,Workday,True,user_001,200,
T0219,2025-03-31 13:25:58,282.73,Starbucks,Food,debit,Cash,Campus,Stressed,Rainy day,True,user_001,300,
T0220,2025-04-05 13:31:58,295.77,Zara,Shopping,debit,UPI,Home,Neutral,Weekend,False,user_001,500,
T0221,2025-03-26 04:12:58,201.5,Starbucks,Food,debit,Card,Campus,Excited,Workday,False,user_001,100,
T0222,2025-04-17 20:51:58,99.69,Swiggy,Food,debit,Wallet,Marina,Stressed,Weekend,False,user_001,100,
T0223,2025-03-27 02:47:58,106.52,McDonald's,Food,debit,Wallet,Campus,Stressed,Weekend,False,user_001,200,
T0224,2025-04-22 08:58:58,74.85,Gym Membership,Health,debit,Card,Marina,Neutral,Shopping mall,True,user_001,300,
T0225,2025-04-01 06:01:58,187.75,Uber,Travel,debit,Wallet,Home,Stressed,Rainy day,False,user_001,300,
T0226,2025-04-19 06:24:58,117.21,McDonald's,Food,debit,Wallet,Campus,Happy,Rainy day,True,user_001,100,
T0227,2025-03-27 07:39:58,230.96,Netflix,Entertainment,debit,Card,Dubai Mall,Neutral,Late night,False,user_001,300,
